Id,emp_length,home_ownership,annual_inc,verification_status,pymnt_plan,purpose_cat,zip_code,addr_state,debt_to_income,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code
16,10,MORTGAGE,75000.0,VERIFIED - income,n,debt consolidation,604xx,IL,13.42,0.0,0.0,,,5.0,0.0,18591,37.9,19.0,m,0.0,3,PC3
17,10,OWN,22000.0,VERIFIED - income source,n,other small business,324xx,FL,14.95,0.0,0.0,,,4.0,0.0,8511,78.8,9.0,m,0.0,3,PC2
18,1,RENT,30000.0,VERIFIED - income source,n,debt consolidation,076xx,NJ,19.32,0.0,0.0,,,9.0,0.0,5276,62.1,19.0,f,0.0,3,PC4
19,3,RENT,63000.0,VERIFIED - income,n,debt consolidation,925xx,CA,19.09,0.0,1.0,,,12.0,0.0,16167,70.3,27.0,f,0.0,2,PC2
20,3,MORTGAGE,120000.0,VERIFIED - income source,n,house,606xx,IL,5.22,1.0,3.0,13.0,,5.0,0.0,49805,0.0,36.0,f,0.0,1,PC1
21,2,MORTGAGE,72000.0,not verified,n,small business,741xx,OK,17.48,0.0,6.0,,,13.0,0.0,1249,6.1,23.0,f,0.0,3,PC3
22,1,RENT,350000.0,VERIFIED - income,n,credit card,234xx,VA,12.22,0.0,0.0,34.0,,8.0,0.0,27733,80.4,24.0,f,0.0,3,PC4
23,10,RENT,56000.0,VERIFIED - income,n,debt consolidation,908xx,CA,15.43,0.0,0.0,,,6.0,0.0,4971,43.5,19.0,f,0.0,1,PC2
24,1,MORTGAGE,191000.0,not verified,n,educational,324xx,FL,12.2,0.0,0.0,49.0,,16.0,0.0,444,2.5,54.0,f,0.0,2,PC1
25,10,RENT,47480.0,not verified,n,other,038xx,NH,16.81,0.0,3.0,32.0,,10.0,0.0,150,3.1,24.0,f,0.0,3,PC1
26,8,MORTGAGE,33600.0,VERIFIED - income,n,major purchase,236xx,VA,3.93,0.0,1.0,67.0,,5.0,0.0,8482,73.8,20.0,f,0.0,2,PC1
27,2,MORTGAGE,42000.0,not verified,n,other,142xx,NY,15.89,0.0,1.0,,,10.0,0.0,20691,51.6,20.0,f,0.0,2,PC5
28,5,MORTGAGE,40000.0,not verified,n,debt consolidation,010xx,MA,10.71,0.0,0.0,,,11.0,0.0,2459,44.7,26.0,f,0.0,2,PC2
29,3,MORTGAGE,55000.0,not verified,n,credit card,614xx,IL,24.94,0.0,8.0,,,16.0,0.0,41705,95.2,24.0,f,0.0,3,PC2
30,4,RENT,120000.0,not verified,n,other,918xx,CA,0.0,0.0,0.0,48.0,,2.0,0.0,0,0.0,7.0,f,0.0,3,PC2
31,1,MORTGAGE,100000.0,VERIFIED - income,n,debt consolidation,200xx,DC,19.99,0.0,1.0,58.0,,6.0,0.0,24678,79.0,22.0,f,0.0,2,PC5
32,3,MORTGAGE,48000.0,VERIFIED - income,n,debt consolidation,287xx,NC,22.59,0.0,2.0,52.0,,10.0,0.0,2894,36.2,13.0,f,0.0,2,PC3
33,5,RENT,41000.0,not verified,n,debt consolidation,972xx,OR,20.69,0.0,0.0,39.0,,6.0,0.0,10949,61.9,12.0,f,0.0,3,PC4
34,1,RENT,8000.0,VERIFIED - income source,n,car,304xx,GA,15.15,0.0,0.0,,,6.0,0.0,2146,20.2,16.0,f,0.0,1,PC1
35,10,MORTGAGE,80000.0,VERIFIED - income,n,debt consolidation,660xx,KS,8.14,0.0,0.0,,,10.0,0.0,14563,68.1,23.0,f,0.0,2,PC4
36,2,RENT,95000.0,VERIFIED - income,n,credit card,232xx,VA,13.65,0.0,0.0,,,8.0,0.0,27686,54.3,26.0,f,0.0,1,PC3
37,4,RENT,60000.0,VERIFIED - income,n,debt consolidation,802xx,CO,9.46,0.0,0.0,60.0,,14.0,0.0,9936,16.7,29.0,f,0.0,2,PC5
38,2,RENT,42000.0,not verified,n,debt consolidation,918xx,CA,12.74,0.0,3.0,62.0,,11.0,0.0,528,9.1,22.0,f,0.0,3,PC4
39,3,OWN,36400.0,not verified,n,debt consolidation,606xx,IL,10.98,0.0,1.0,,,8.0,0.0,6772,72.8,18.0,f,0.0,3,PC4
40,1,RENT,65400.0,VERIFIED - income source,n,credit card,932xx,CA,17.71,0.0,3.0,,,8.0,0.0,13041,81.5,36.0,f,0.0,3,PC5
41,2,RENT,58000.0,not verified,n,debt consolidation,070xx,NJ,13.55,0.0,3.0,64.0,,7.0,0.0,7616,58.1,16.0,f,0.0,3,PC5
42,4,RENT,315600.0,VERIFIED - income source,n,debt consolidation,088xx,NJ,0.98,0.0,2.0,,,6.0,0.0,1555,24.7,10.0,f,0.0,1,PC3
43,2,MORTGAGE,45000.0,not verified,n,home improvement,210xx,MD,7.79,0.0,1.0,,,9.0,0.0,780,4.1,19.0,f,0.0,2,PC3
44,5,RENT,55000.0,not verified,n,debt consolidation,060xx,CT,22.28,0.0,2.0,,,13.0,0.0,14217,20.2,25.0,f,0.0,2,PC5
45,4,MORTGAGE,141000.0,VERIFIED - income,n,major purchase,633xx,MO,8.31,0.0,3.0,,,10.0,0.0,55142,45.8,24.0,f,0.0,1,PC1
46,7,MORTGAGE,72000.0,not verified,n,car,978xx,OR,8.68,0.0,0.0,,,10.0,0.0,18885,66.3,43.0,f,0.0,2,PC5
47,1,MORTGAGE,35000.0,VERIFIED - income source,n,debt consolidation,535xx,WI,14.5,0.0,3.0,,,12.0,0.0,17717,67.4,26.0,f,0.0,1,PC4
48,3,MORTGAGE,42240.0,not verified,n,debt consolidation,335xx,FL,13.35,1.0,1.0,4.0,,5.0,0.0,15974,48.9,16.0,f,0.0,1,PC3
49,10,MORTGAGE,66000.0,not verified,n,home improvement,857xx,AZ,12.58,0.0,1.0,,,11.0,0.0,5723,8.4,38.0,f,0.0,3,PC4
50,6,RENT,86496.0,VERIFIED - income source,n,debt consolidation,115xx,NY,14.19,0.0,0.0,,,6.0,0.0,12915,85.0,12.0,f,0.0,1,PC2
51,10,RENT,52656.0,VERIFIED - income,n,medical,104xx,NY,7.7,0.0,0.0,34.0,,16.0,0.0,0,0.0,24.0,f,0.0,3,PC5
52,1,MORTGAGE,120000.0,VERIFIED - income source,n,other,207xx,MD,21.16,4.0,1.0,4.0,,25.0,0.0,43109,72.3,49.0,f,0.0,3,PC5
53,1,RENT,30000.0,not verified,n,educational,272xx,SC,8.36,0.0,2.0,,,14.0,0.0,277,46.2,15.0,f,0.0,2,PC3
54,10,MORTGAGE,120000.0,not verified,n,major purchase,913xx,CA,6.98,0.0,0.0,,,15.0,0.0,78330,28.6,31.0,f,0.0,2,PC4
55,1,RENT,23040.0,VERIFIED - income source,n,credit card,951xx,CA,12.66,0.0,0.0,63.0,,6.0,0.0,8282,62.3,11.0,f,0.0,2,PC3
56,1,RENT,15000.0,VERIFIED - income,n,other,774xx,TX,18.08,0.0,0.0,,,2.0,0.0,9279,36.5,3.0,f,0.0,1,PC4
57,3,OWN,43000.0,VERIFIED - income,n,debt consolidation,221xx,VA,15.49,1.0,1.0,19.0,,9.0,0.0,19226,70.9,32.0,f,0.0,2,PC4
58,10,MORTGAGE,99600.0,VERIFIED - income,n,medical,954xx,CA,15.22,0.0,0.0,,,11.0,0.0,60631,70.3,28.0,f,0.0,2,PC3
59,10,RENT,40000.0,not verified,n,credit card,971xx,OR,15.0,0.0,0.0,,,10.0,0.0,18601,88.2,11.0,f,0.0,1,PC1
60,1,RENT,65000.0,not verified,n,small business,554xx,MN,2.79,1.0,2.0,19.0,27.0,4.0,1.0,2601,40.6,7.0,f,0.0,2,PC2
61,6,MORTGAGE,61781.0,VERIFIED - income,n,credit card,453xx,OH,17.15,0.0,4.0,,,10.0,0.0,23065,51.1,31.0,f,0.0,3,PC4
62,3,RENT,72000.0,VERIFIED - income,n,debt consolidation,483xx,MI,14.75,0.0,0.0,,,19.0,0.0,18421,67.0,28.0,f,0.0,2,PC2
63,3,RENT,29000.0,not verified,n,debt consolidation,188xx,PA,17.63,0.0,0.0,27.0,,15.0,0.0,1155,11.3,24.0,f,0.0,1,PC3
64,10,MORTGAGE,42500.0,VERIFIED - income,n,debt consolidation,601xx,IL,0.28,0.0,3.0,,92.0,3.0,1.0,45,0.6,16.0,f,0.0,2,PC5
65,1,RENT,53052.0,VERIFIED - income source,n,other,790xx,TX,18.95,0.0,0.0,,,4.0,0.0,4556,53.6,7.0,f,0.0,2,PC5
66,1,RENT,70000.0,VERIFIED - income source,n,credit card,200xx,DC,2.59,0.0,1.0,,,11.0,0.0,5231,2.4,20.0,f,0.0,2,PC1
67,1,RENT,25000.0,VERIFIED - income source,n,debt consolidation,995xx,AK,14.59,0.0,1.0,,,13.0,0.0,11338,18.6,30.0,f,0.0,2,PC5
68,10,MORTGAGE,80000.0,not verified,n,vacation,275xx,NC,20.59,1.0,2.0,15.0,,30.0,0.0,6654,22.6,56.0,f,0.0,3,PC3
69,4,MORTGAGE,71000.0,VERIFIED - income,n,debt consolidation,333xx,FL,13.81,0.0,0.0,,,14.0,0.0,6953,67.5,24.0,f,0.0,3,PC4
70,8,MORTGAGE,61200.0,VERIFIED - income source,n,debt consolidation,720xx,AR,20.94,0.0,3.0,,,8.0,0.0,3943,33.4,20.0,f,0.0,1,PC2
71,1,RENT,48000.0,VERIFIED - income,n,wedding,100xx,NY,2.6,0.0,0.0,,,4.0,0.0,3935,46.3,5.0,f,0.0,2,PC3
72,2,RENT,28956.0,VERIFIED - income source,n,debt consolidation,787xx,TX,24.08,1.0,2.0,16.0,,11.0,0.0,3349,21.2,20.0,f,0.0,3,PC5
73,2,MORTGAGE,60000.0,not verified,n,other,791xx,TX,1.36,1.0,0.0,11.0,,12.0,0.0,2193,10.5,21.0,f,0.0,2,PC1
74,5,RENT,44000.0,VERIFIED - income,n,debt consolidation,330xx,FL,7.15,0.0,0.0,,,8.0,0.0,4913,63.4,12.0,f,0.0,2,PC4
75,3,MORTGAGE,55000.0,not verified,n,debt consolidation,334xx,FL,12.56,0.0,2.0,,,7.0,0.0,4280,28.2,8.0,f,0.0,3,PC1
76,7,MORTGAGE,70000.0,not verified,n,credit card,700xx,LA,13.53,0.0,3.0,26.0,,12.0,0.0,73764,22.5,39.0,f,0.0,1,PC5
77,1,RENT,47600.0,not verified,n,debt consolidation,209xx,MD,15.53,0.0,1.0,34.0,0.0,6.0,0.0,1233,35.2,7.0,m,0.0,2,PC2
78,8,MORTGAGE,36000.0,not verified,n,debt consolidation,958xx,CA,21.9,3.0,1.0,9.0,,6.0,0.0,6965,89.3,20.0,m,0.0,2,PC3
79,10,MORTGAGE,79992.0,VERIFIED - income,n,other,930xx,CA,21.75,1.0,0.0,23.0,,13.0,0.0,16156,74.5,30.0,m,0.0,1,PC5
80,3,RENT,31000.0,VERIFIED - income source,n,debt consolidation,331xx,FL,19.66,0.0,2.0,31.0,,11.0,0.0,3058,28.8,12.0,m,0.0,2,PC3
81,1,RENT,60000.0,VERIFIED - income source,n,wedding,760xx,TX,19.94,0.0,0.0,,,9.0,0.0,22253,44.0,27.0,m,0.0,2,PC1
82,1,MORTGAGE,250000.0,VERIFIED - income,n,major purchase,297xx,SC,1.42,4.0,5.0,15.0,,5.0,0.0,427,23.7,43.0,m,0.0,1,PC1
83,1,MORTGAGE,24000.0,VERIFIED - income source,n,home improvement,601xx,IL,3.25,0.0,0.0,,,5.0,0.0,1680,56.0,7.0,m,0.0,2,PC5
84,1,RENT,25000.0,not verified,n,debt consolidation,201xx,VA,21.36,0.0,0.0,55.0,,4.0,0.0,1333,83.3,19.0,f,0.0,1,PC2
85,10,MORTGAGE,65000.0,VERIFIED - income source,n,vacation,309xx,GA,2.33,1.0,1.0,17.0,,8.0,0.0,2937,10.8,17.0,f,0.0,2,PC4
86,8,RENT,90000.0,VERIFIED - income,n,credit card,208xx,MD,5.24,0.0,1.0,42.0,,17.0,0.0,15077,46.7,28.0,f,0.0,1,PC3
87,10,RENT,55000.0,not verified,n,other small business,306xx,GA,16.97,0.0,0.0,44.0,,5.0,0.0,3052,41.8,22.0,f,0.0,1,PC2
88,4,RENT,159996.0,VERIFIED - income,n,credit card,432xx,OH,6.84,0.0,0.0,,,11.0,0.0,18115,98.5,35.0,f,0.0,1,PC1
89,2,RENT,45000.0,not verified,n,debt consolidation,173xx,PA,17.28,0.0,7.0,78.0,88.0,11.0,1.0,3102,48.5,29.0,f,0.0,3,PC3
90,4,RENT,70000.0,VERIFIED - income source,n,small business,946xx,CA,6.17,0.0,0.0,,,3.0,0.0,4789,47.9,3.0,f,0.0,2,PC4
91,1,RENT,51400.0,not verified,n,debt consolidation,223xx,VA,1.77,0.0,2.0,,,7.0,0.0,1744,16.0,9.0,f,0.0,3,PC3
92,4,RENT,33000.0,VERIFIED - income,n,debt consolidation,551xx,MN,17.38,1.0,1.0,19.0,,6.0,0.0,0,0.0,20.0,f,0.0,1,PC3
93,7,MORTGAGE,130000.0,VERIFIED - income,n,small business,984xx,WA,7.76,0.0,0.0,38.0,,13.0,0.0,4039,14.8,38.0,f,0.0,3,PC2
94,1,MORTGAGE,137004.0,VERIFIED - income,n,debt consolidation,296xx,SC,20.69,0.0,0.0,,,15.0,0.0,116150,54.6,34.0,f,0.0,2,PC4
95,5,OWN,48575.0,VERIFIED - income source,n,debt consolidation,201xx,VA,22.33,0.0,1.0,,,15.0,0.0,9877,56.8,22.0,f,0.0,1,PC3
96,10,MORTGAGE,155000.0,VERIFIED - income,n,debt consolidation,920xx,CA,12.4,0.0,0.0,,,9.0,0.0,23039,26.6,36.0,f,0.0,2,PC2
97,10,MORTGAGE,81847.0,VERIFIED - income source,n,educational,080xx,NJ,6.03,0.0,5.0,,98.0,9.0,1.0,11754,41.0,21.0,f,0.0,2,PC1
98,9,MORTGAGE,55200.0,not verified,n,small business,952xx,CA,20.39,2.0,0.0,17.0,,9.0,0.0,35294,95.9,49.0,f,0.0,3,PC4
99,1,MORTGAGE,120000.0,VERIFIED - income,n,credit card,920xx,CA,9.69,0.0,0.0,54.0,,10.0,0.0,7796,32.2,27.0,f,0.0,2,PC4
100,3,MORTGAGE,200000.0,VERIFIED - income source,n,debt consolidation,913xx,CA,6.71,0.0,0.0,,,11.0,0.0,8937,20.8,17.0,f,0.0,3,PC5
101,1,RENT,47840.0,VERIFIED - income,n,debt consolidation,333xx,FL,24.18,0.0,0.0,,,8.0,0.0,21507,68.5,8.0,f,0.0,1,PC2
102,3,RENT,61000.0,VERIFIED - income source,n,vacation,752xx,TX,0.98,0.0,5.0,,,8.0,0.0,1939,6.2,9.0,f,0.0,3,PC2
103,7,OWN,61000.0,VERIFIED - income,n,house,170xx,PA,9.68,0.0,3.0,,113.0,7.0,1.0,1284,6.3,22.0,f,0.0,2,PC4
104,2,OWN,27600.0,VERIFIED - income source,n,debt consolidation,310xx,GA,21.83,0.0,0.0,,,5.0,0.0,7135,46.6,6.0,f,0.0,1,PC1
105,8,RENT,65000.0,not verified,n,other,021xx,MA,0.65,0.0,0.0,,,7.0,0.0,1252,4.5,12.0,f,0.0,3,PC2
106,8,MORTGAGE,56000.0,not verified,n,debt consolidation,982xx,WA,8.46,0.0,0.0,,,5.0,0.0,13923,77.3,12.0,f,0.0,1,PC4
107,1,RENT,36000.0,not verified,n,debt consolidation,013xx,MA,17.27,0.0,3.0,,110.0,9.0,1.0,7976,47.2,15.0,f,0.0,1,PC3
108,1,RENT,22800.0,VERIFIED - income source,n,home improvement,967xx,HI,24.89,0.0,1.0,27.0,,3.0,0.0,192,48.0,5.0,f,0.0,3,PC3
109,4,MORTGAGE,40000.0,not verified,n,other,455xx,OH,16.47,0.0,4.0,41.0,,9.0,0.0,8747,74.8,16.0,f,0.0,1,PC2
110,10,MORTGAGE,90474.0,VERIFIED - income,n,debt consolidation,207xx,MD,9.64,0.0,1.0,48.0,,20.0,0.0,22400,19.9,62.0,f,0.0,2,PC1
111,10,MORTGAGE,130000.0,VERIFIED - income,n,debt consolidation,852xx,AZ,5.39,0.0,0.0,,,6.0,0.0,20964,35.6,29.0,f,0.0,2,PC4
112,10,MORTGAGE,45000.0,VERIFIED - income source,n,credit card,301xx,GA,15.6,0.0,0.0,,,4.0,0.0,17588,93.1,13.0,f,0.0,1,PC4
113,1,RENT,115000.0,VERIFIED - income,n,wedding,903xx,CA,1.39,0.0,1.0,,,9.0,0.0,30215,49.6,17.0,f,0.0,3,PC2
114,2,RENT,51400.0,not verified,n,credit card,752xx,TX,19.14,0.0,3.0,,,10.0,0.0,10160,59.1,24.0,f,0.0,2,PC5
115,5,RENT,46199.0,VERIFIED - income,n,credit card,806xx,CO,23.42,0.0,4.0,,,6.0,0.0,22558,76.5,11.0,f,0.0,3,PC2
116,10,MORTGAGE,82000.0,VERIFIED - income,n,home improvement,481xx,MI,14.59,0.0,8.0,,,10.0,0.0,31830,41.3,28.0,f,0.0,3,PC4
117,9,MORTGAGE,61000.0,VERIFIED - income source,n,credit card,856xx,AZ,5.08,0.0,0.0,,,5.0,0.0,12653,48.9,14.0,f,0.0,3,PC1
118,4,RENT,120000.0,VERIFIED - income,n,debt consolidation,787xx,TX,15.23,0.0,1.0,,,11.0,0.0,25822,71.1,27.0,f,0.0,1,PC4
119,2,MORTGAGE,100000.0,VERIFIED - income source,n,debt consolidation,256xx,WV,9.13,0.0,0.0,43.0,87.0,10.0,1.0,9331,79.1,24.0,f,0.0,2,PC3
120,na,MORTGAGE,55200.0,VERIFIED - income,n,debt consolidation,157xx,PA,16.76,0.0,1.0,38.0,,26.0,0.0,26676,33.1,53.0,f,0.0,1,PC3
121,3,MORTGAGE,112800.0,VERIFIED - income,n,debt consolidation,144xx,NY,14.35,0.0,1.0,,,17.0,0.0,38121,59.6,35.0,f,0.0,2,PC5
122,10,MORTGAGE,145000.0,VERIFIED - income,n,debt consolidation,063xx,CT,5.74,0.0,3.0,,,6.0,0.0,28648,61.0,26.0,f,0.0,3,PC3
123,10,MORTGAGE,75000.0,VERIFIED - income,n,debt consolidation,773xx,TX,13.15,0.0,0.0,,,13.0,0.0,13901,29.8,33.0,f,0.0,3,PC2
124,6,RENT,75000.0,VERIFIED - income source,n,debt consolidation,021xx,MA,19.09,0.0,1.0,78.0,,12.0,0.0,16865,70.0,32.0,f,0.0,3,PC5
125,5,RENT,65000.0,VERIFIED - income,n,debt consolidation,799xx,TX,20.62,0.0,3.0,,93.0,11.0,1.0,14658,68.2,27.0,f,0.0,1,PC2
126,3,RENT,50000.0,not verified,n,credit card,606xx,IL,13.73,0.0,0.0,,,5.0,0.0,20791,94.5,10.0,f,0.0,2,PC5
127,10,RENT,85000.0,not verified,n,major purchase,070xx,NJ,17.92,0.0,0.0,28.0,,4.0,0.0,28824,39.2,7.0,f,0.0,1,PC3
128,10,RENT,137481.0,not verified,n,debt consolidation,761xx,TX,4.81,1.0,0.0,16.0,,5.0,0.0,20042,50.9,34.0,f,0.0,2,PC4
129,4,RENT,47000.0,not verified,n,credit card,951xx,CA,13.53,0.0,0.0,,,7.0,0.0,7686,78.4,10.0,f,0.0,1,PC1
130,5,RENT,58344.0,not verified,n,debt consolidation,662xx,KS,6.38,0.0,1.0,56.0,,6.0,0.0,11927,75.5,19.0,f,0.0,2,PC4
131,1,RENT,32400.0,not verified,n,car,554xx,MN,21.22,0.0,1.0,,,8.0,0.0,14667,69.2,15.0,f,0.0,1,PC5
132,1,MORTGAGE,122000.0,not verified,n,credit card,600xx,IL,7.55,0.0,5.0,,,8.0,0.0,62681,25.9,25.0,f,0.0,3,PC2
133,1,MORTGAGE,65000.0,VERIFIED - income,n,debt consolidation small business,606xx,IL,3.01,0.0,1.0,,,5.0,0.0,6526,94.6,8.0,f,0.0,1,PC1
134,5,MORTGAGE,82000.0,not verified,n,debt consolidation,440xx,OH,21.73,1.0,6.0,6.0,,15.0,0.0,111611,17.4,24.0,f,0.0,3,PC4
135,10,RENT,52000.0,VERIFIED - income,n,debt consolidation,402xx,KY,16.57,0.0,1.0,37.0,,7.0,0.0,5437,22.4,41.0,f,0.0,1,PC4
136,5,RENT,180000.0,VERIFIED - income source,n,debt consolidation,946xx,CA,21.17,0.0,0.0,,,16.0,0.0,12318,78.0,61.0,f,0.0,2,PC1
137,10,RENT,55000.0,VERIFIED - income,n,other,112xx,NY,15.75,0.0,0.0,,,8.0,0.0,10572,53.9,18.0,f,0.0,1,PC5
138,3,RENT,78402.0,not verified,n,debt consolidation,900xx,CA,10.24,1.0,0.0,5.0,,3.0,0.0,1094,31.3,16.0,f,0.0,1,PC5
139,10,RENT,65496.0,not verified,n,other,782xx,TX,13.81,0.0,1.0,26.0,,11.0,0.0,5205,13.4,39.0,f,0.0,1,PC3
140,7,MORTGAGE,200000.0,VERIFIED - income,n,debt consolidation,920xx,CA,3.74,0.0,1.0,,,10.0,0.0,12147,67.5,18.0,f,0.0,1,PC1
141,4,MORTGAGE,30000.0,not verified,n,credit card,605xx,IL,20.28,0.0,0.0,,,13.0,0.0,6024,45.3,24.0,f,0.0,3,PC4
142,2,MORTGAGE,114000.0,not verified,n,debt consolidation,762xx,TX,15.02,0.0,2.0,,101.0,12.0,1.0,18071,65.5,24.0,f,0.0,1,PC2
143,4,OWN,37560.0,not verified,n,debt consolidation,706xx,LA,26.84,0.0,0.0,,,4.0,0.0,17596,96.2,8.0,f,0.0,2,PC2
144,8,RENT,75000.0,VERIFIED - income source,n,major purchase,703xx,LA,6.22,0.0,2.0,,,11.0,0.0,72,0.6,12.0,f,0.0,2,PC1
145,1,RENT,61000.0,not verified,n,credit card,302xx,GA,23.08,0.0,5.0,,,7.0,0.0,9433,76.3,13.0,f,0.0,1,PC4
146,1,MORTGAGE,100000.0,VERIFIED - income,n,small business,907xx,CA,13.31,0.0,1.0,,,16.0,0.0,13931,75.8,24.0,f,0.0,3,PC4
147,1,RENT,28000.0,not verified,n,major purchase,181xx,PA,1.76,0.0,1.0,,,6.0,0.0,1292,4.3,8.0,f,0.0,2,PC4
148,10,OWN,130000.0,VERIFIED - income,n,credit card,945xx,CA,19.62,0.0,0.0,,,9.0,0.0,61165,91.3,28.0,f,0.0,3,PC5
149,1,MORTGAGE,37500.0,not verified,n,home improvement,286xx,NC,6.62,0.0,1.0,,,4.0,0.0,7187,92.1,21.0,f,0.0,2,PC3
150,10,RENT,45000.0,VERIFIED - income source,n,other,922xx,CA,14.11,1.0,3.0,17.0,,7.0,0.0,3641,79.2,19.0,f,0.0,3,PC5
151,7,RENT,52800.0,VERIFIED - income source,n,credit card,268xx,WV,24.94,0.0,1.0,,,8.0,0.0,10290,85.0,12.0,f,0.0,3,PC1
152,10,MORTGAGE,39168.0,not verified,n,debt consolidation,945xx,CA,24.85,0.0,1.0,36.0,77.0,13.0,1.0,6347,81.6,30.0,f,0.0,1,PC2
153,5,RENT,58000.0,VERIFIED - income source,n,debt consolidation,787xx,TX,20.32,0.0,0.0,,,12.0,0.0,6790,52.6,29.0,f,0.0,3,PC4
154,10,MORTGAGE,88812.93,VERIFIED - income,n,credit card,181xx,PA,18.56,0.0,2.0,,,8.0,0.0,33844,85.9,27.0,f,0.0,2,PC5
155,10,RENT,42000.0,not verified,n,other,750xx,TX,21.17,0.0,2.0,,,25.0,0.0,9669,16.6,37.0,f,0.0,1,PC5
156,2,MORTGAGE,43000.0,VERIFIED - income,n,other,775xx,TX,23.44,0.0,2.0,,,9.0,0.0,5049,48.5,12.0,f,0.0,3,PC4
157,8,MORTGAGE,115000.0,not verified,n,debt consolidation,029xx,RI,7.78,0.0,2.0,44.0,,7.0,0.0,12340,71.3,46.0,f,0.0,2,PC4
158,10,MORTGAGE,93000.0,not verified,n,home improvement,481xx,MI,10.89,0.0,0.0,,,13.0,0.0,60376,47.9,27.0,f,0.0,3,PC5
159,1,RENT,10000.0,not verified,n,educational,606xx,IL,19.68,0.0,0.0,,,3.0,0.0,603,6.2,4.0,f,0.0,3,PC2
160,7,OWN,350000.0,not verified,n,small business,024xx,MA,11.38,0.0,7.0,,,13.0,0.0,1207359,56.0,33.0,f,0.0,2,PC5
161,2,MORTGAGE,51996.0,VERIFIED - income source,n,debt consolidation,935xx,CA,23.96,0.0,3.0,,,8.0,0.0,8437,63.0,14.0,f,0.0,3,PC1
162,10,MORTGAGE,140000.0,VERIFIED - income source,n,credit card,913xx,CA,3.05,0.0,0.0,28.0,,21.0,0.0,16621,20.6,50.0,f,0.0,1,PC2
163,3,RENT,61200.0,not verified,n,debt consolidation,111xx,NY,11.02,0.0,0.0,,,12.0,0.0,6577,51.0,20.0,f,0.0,3,PC5
164,4,RENT,40000.0,VERIFIED - income source,n,debt consolidation,112xx,NY,11.19,0.0,2.0,,,6.0,0.0,17554,57.0,8.0,f,0.0,1,PC1
165,1,RENT,25000.0,not verified,n,house,941xx,CA,7.58,0.0,0.0,81.0,,6.0,0.0,7090,73.1,10.0,f,0.0,3,PC5
166,4,OWN,600000.0,VERIFIED - income,n,major purchase,900xx,CA,7.09,0.0,1.0,31.0,,9.0,0.0,58222,39.0,38.0,f,0.0,3,PC5
